ranking,World Rank,University,Det.,Impact Rank*,Openness Rank*,Excellence Rank*
79,24037,International School of Business ISB Sfax,,23577,8889,7504
80,24037,Université Privée de Sousse École d'Ingénieurs SupTech,,23577,8889,7504
81,24170,(3) Université de la Manouba Institut Supérieur d'Histoire du Mouvement National,,23731,8889,7504
82,24170,Institut des Hautes Etudes à Sousse,,23731,8889,7504
83,24170,Institut Supérieur des Etudes Technologiques ISET Sfax,,23731,8889,7504
84,24170,Université Virtuelle Institut Supérieur de l'Education et de la Formation Continue,,23731,8889,7504
85,24320,(3) Université de Carthage Ecole Supérieure de Technologie et d'Informatique à Carthage,,23894,8889,7504
86,24320,(3) Université de Gabès Institut Supérieur des Arts et Métiers de Tataouine,,23894,8889,7504
87,24506,(3) Université de Kairouan Faculté des Lettres et des Sciences Humaines de Kairouan,,24084,8889,7504
88,24506,(3) Université de Sfax Institut supérieur de gestion industrielle de Sfax,,24084,8889,7504
89,24506,EBS Espima Business School,,24084,8889,7504
90,24506,Institut International du Numérique et de l'Audiovisuel IINA Tunis,,24084,8889,7504
91,24680,(3) Université de Sousse Faculté des Lettres et des Sciences Humaines de Sousse,,24278,8889,7504
92,24680,(3) Université de Tunis Institut Supérieur des Beaux Arts de Tunis,,24278,8889,7504
93,24864,(3) Université de Monastir Institut supérieur des sciences appliquées et de technologie de Mahdia,,24478,8889,7504
94,24864,(3) Université de Sfax Institut Supérieur des Arts et Métiers de Sfax,,24478,8889,7504
95,24864,Ecole Universitaire Privée de Management et de Finance,,24478,8889,7504
96,25044,(3) Université de la Manouba Institut Supérieur de Comptabilité et d'Administration des Entreprises,,24667,8889,7504
97,25044,Institut Supérieur des Etudes Technologiques ISET Charguia,,24667,8889,7504
98,25044,Institut Supérieur des Etudes Technologiques ISET Mahdia,,24667,8889,7504
99,25220,(3) Université de Kairouan Institut Supérieur d'Informatique et de Gestion de Kairouan,,24854,8889,7504
100,25220,Ecole Supérieure de la Statistique et de l'Analyse de l'Information ESSAI,,24854,8889,7504
